@relation mnl2 
@attribute hammerforce numeric
@attribute sensor1 numeric
@attribute sensor2 numeric
@attribute class {'1','3','4','5','6','7'}
@data
0.059688,-0.010173,0.01644,3
0.265388,0.011326,-0.00606,4
0.209392,0.010303,0.012973,5
0.144413,0.009998,0.007023,6
0.132007,0.014568,0.073158,7
0.107154,0.007922,-0.010465,1
0.055721,-0.018056,-0.013174,3
0.269132,0.006045,0.005786,4
0.214143,0.012337,0.016891,5
0.144413,-0.001043,0.017231,6
0.134461,0.005394,0.073158,7
0.099513,-0.000759,-0.010465,1
0.055721,-0.018056,-0.013174,3
0.265388,0.016624,-0.015531,4
0.207009,0.008282,0.003171,5
0.151128,-0.020373,-0.028607,6
0.136915,0.019155,0.013866,7
0.091922,-0.035511,0.01363,1
0.067596,0.008209,-0.005096,3
0.257874,0.003413,0.008162,4
0.209392,0.00016,0.014925,5
0.151128,-0.025893,-0.008223,6
0.139353,0.005394,0.13245,7
0.091922,-0.00944,0.025658,1
0.059688,0.00296,-0.013174,3
0.272902,-0.009798,0.015273,4
0.21176,-0.005916,0.022775,5
0.144413,-0.025893,0.007023,6
0.141807,0.005394,0.13245,7
0.099513,-0.02683,0.007597,1
0.047814,0.018708,0.002982,3
0.269132,0.011326,0.005786,4
0.21176,0.00016,0.012973,5
0.144413,-0.020373,0.001952,6
0.139353,0.016869,0.092966,7
0.114745,-0.044192,0.019625,1
0.067596,0.005576,-0.013174,3
0.265388,0.016624,0.010522,4
0.209392,0.018426,0.007089,5
0.144413,-0.009332,-0.038782,6
0.139353,0.000807,0.092966,7
0.130028,-0.000759,0.04372,1
0.051755,-0.00229,0.008362,3
0.261618,0.000764,0.008162,4
0.21176,0.028569,0.018857,5
0.147781,0.009998,-0.033678,6
0.139353,-0.010668,0.013866,7
0.099513,-0.018149,0.001602,1
0.059688,-0.004923,-0.005096,3
0.272902,0.008694,0.003427,4
0.21176,0.00016,0.007089,5
0.147781,-0.014852,0.007023,6
0.144245,0.00768,-0.16388,7
0.107154,-0.000759,-0.046549,1
0.059688,0.000326,-0.005096,3
0.269132,0.006045,0.020008,4
0.21176,-0.00795,0.005124,5
0.147781,-0.009332,0.001952,6
0.141807,-0.010668,0.013866,7
0.099513,0.012248,-0.028487,1
0.067596,0.023958,-0.010476,3
0.265388,0.021905,0.008162,4
0.207009,0.012337,0.005124,5
0.141044,-0.003812,-0.028607,6
0.134461,0.000807,-0.16388,7
0.099513,0.033964,-0.022493,1
